text,label
Need to update credit card information Thanks.,Billing
New employee account setup Urgent!!,Access
Reset 2FA settings I tried restarting but no luck.,Access
Billing address needs to be changed It was working yesterday.,Billing
Mouse not working It was working yesterday.,Hardware
Computer making a loud noise Please help.,Hardware
Permission denied for Jira Urgent!!,Access
Invoice #12345 is incorrect,Billing
Clarification on last month's charge Please help.,Billing
Refund request for order #987 It was working yesterday.,Billing
Mouse not working Urgent!!,Hardware
Receipt for expense report Urgent!!,Billing
Reset 2FA settings I tried restarting but no luck.,Access
Reset 2FA settings Thanks.,Access
Forgot my password It was working yesterday.,Access
Need to update credit card information Urgent!!,Billing
Screen went black suddenly Thanks.,Hardware
Need access to the marketing folder Urgent!!,Access
Computer making a loud noise Please help.,Hardware
Receipt for expense report Urgent!!,Billing
Need to update credit card information I tried restarting but no luck.,Billing
Webcam failed during meeting Please help.,Hardware
Error 403 trying to access dashboard Thanks.,Access
Printer says paper jam but it's empty Thanks.,Hardware
Webcam failed during meeting Urgent!!,Hardware
Reset 2FA settings,Access
Billing address needs to be changed Thanks.,Billing
Need to update credit card information Urgent!!,Billing
Monitor is flickering Please help.,Hardware
Need to update credit card information Urgent!!,Billing
Monitor is flickering I tried restarting but no luck.,Hardware
Payment failed notification It was working yesterday.,Billing
Reset 2FA settings Thanks.,Access
Reset 2FA settings Please help.,Access
Payment failed notification I tried restarting but no luck.,Billing
Receipt for expense report Thanks.,Billing
Refund request for order #987 I tried restarting but no luck.,Billing
Need access to the marketing folder Urgent!!,Access
Forgot my password I tried restarting but no luck.,Access
Monitor is flickering Urgent!!,Hardware
Billing address needs to be changed Please help.,Billing
Invoice #12345 is incorrect Please help.,Billing
Mouse not working,Hardware
Forgot my password Thanks.,Access
Mouse not working Thanks.,Hardware
Account locked out I tried restarting but no luck.,Access
Error 403 trying to access dashboard Thanks.,Access
Forgot my password I tried restarting but no luck.,Access
Forgot my password Urgent!!,Access
Screen went black suddenly Please help.,Hardware
Clarification on last month's charge I tried restarting but no luck.,Billing
Receipt for expense report Please help.,Billing
Why was I charged twice? Thanks.,Billing
Why was I charged twice? Urgent!!,Billing
Need to update credit card information I tried restarting but no luck.,Billing
Refund request for order #987,Billing
Need access to the marketing folder Please help.,Access
Cannot log in to VPN,Access
SSO login is looping I tried restarting but no luck.,Access
Clarification on last month's charge I tried restarting but no luck.,Billing
Keyboard keys are stuck Please help.,Hardware
Need a replacement for my headset I tried restarting but no luck.,Hardware
Need access to the marketing folder,Access
Need access to the marketing folder Urgent!!,Access
Mouse not working I tried restarting but no luck.,Hardware
New employee account setup I tried restarting but no luck.,Access
Webcam failed during meeting Urgent!!,Hardware
Permission denied for Jira I tried restarting but no luck.,Access
Billing address needs to be changed Please help.,Billing
Forgot my password,Access
Computer making a loud noise Urgent!!,Hardware
Account locked out Please help.,Access
Permission denied for Jira Thanks.,Access
Why was I charged twice? Urgent!!,Billing
My laptop is not turning on I tried restarting but no luck.,Hardware
Monitor is flickering Thanks.,Hardware
Cancel my subscription renewal It was working yesterday.,Billing
Invoice #12345 is incorrect,Billing
Monitor is flickering It was working yesterday.,Hardware
Billing address needs to be changed,Billing
Monitor is flickering,Hardware
Payment failed notification,Billing
Reset 2FA settings,Access
Need to update credit card information Thanks.,Billing
Need access to the marketing folder Urgent!!,Access
Printer says paper jam but it's empty It was working yesterday.,Hardware
Account locked out It was working yesterday.,Access
Docking station not connecting It was working yesterday.,Hardware
Docking station not connecting It was working yesterday.,Hardware
Error 403 trying to access dashboard Thanks.,Access
Payment failed notification Thanks.,Billing
Screen went black suddenly Urgent!!,Hardware
SSO login is looping I tried restarting but no luck.,Access
Screen went black suddenly Please help.,Hardware
SSO login is looping Thanks.,Access
Receipt for expense report Please help.,Billing
